Year,Date,Time,Location,Operator,Flight,Route,AC Type,Registration,Aboard passengers,Aboard Crew,Casualty Passenger,Casuality Crew,Ground,Summary
2019,05/May,1830,Moscow. Russia,Aeroflot Russian International Airlines,,Moscow - Murmansk,Sukhoi Superjet-100-95B,RA-89098 ,73,5,40,1,0,"Forty-five minutes after taking off from Moscow's Sheremetyevo Airport. the plane returned to make an emergency landing. About 16-21nm west of Sheremetyevo Airport there was a thunderstorm. The aircraft was climbing through 7.900 feet when an electrical failure occurred. the flight control system degraded to ""DIRECT MODE"". the autopilot automatically disconnected, the aircraft was in the middle of thunderstorm activity. The captain assumed manual control of the aircraft until the end of the flight. The crew decided to return to Sheremetyevo and performed a manual ILS approach to runway 24L. At the time the aircraft intercepted the glideslope the aircraft’s mass was above the maximum landing weight. The crew deployed the flaps to 25 degrees in accordance with the flight crew operating manual for flight with minimum mode (DIRECT MODE) of the FCS as well as landing above MLW. At 15:26Z the crew set the emergency transponder code. Vapp was determined to be 155 KIAS. the descent on the glideslope was stabilised and without any deviation from Vapp. Descending between 1.100 and 900 feet the crew received 5 cycles of predictive windshear warnings. Descending through 260 feet AGL the aircraft began to deviate below the glide slope. a ‘GLIDESLOPE’ warning occurred. Descending between 180 to 40 feet the engine thrust was increased causing the aircraft to accelerate to 164 knots. At 16 feet AGL the speed was 170 KIAS. A Terrain Awareness Warning System aural signal ‘Retard’ occurred. The engine thrust was reduced to idle. At that point the captain began to apply oscillating pitch inputs with increasing amplitude which changed the pitch angle up to +6 and -2 degrees. The aircraft made a ""three point"" touchdown 900 meters past the runway threshold at 158 KIAS and a vertical load of +2.55G and bounced up to 6 feet AGL. The spoilers did not deploy. In DIRECT MODE they are not permitted to operate automatically and need to be extended manually. however the spoilers were not manually extended by the crew. Two seconds after the first touchdown the aircraft touched down a second time with the nose gear first at 155 KIAS and +5.85G. The aircraft bounced off again to 18 feet AGL. A third touchdown occurred at 140 KIAS in excess of +5G resulting in the destruction of the construction. a fuel spill and fire."
2019,03/Jun,1300,Lipo. India,Military - Indian Air Force,,Jorhat - Rowriah - Mechuka,Antonov An-32,K2752,5,8,5,8,0,Crashed about 34km WNW of Mechuka.
2019,30/Jul,200,Rawalpindi. India,Military - Pakistan Army,,Training,Beechcraft B300 King Air,766,0,5,0,5,14,The Pakistani military plane. on a training flight. crashed into residential structures in Mora Kalu Village on the outskirts of Rawalpindi. The aircraft was destroyed killing 18 people. including the 2 pilots. 3 crew members and 14 civilians on the ground.
2019,11/Sep,228,Toledo. Ohio,Private,,Millington - Toledo,Convair CV-440F,N24DR,0,2,0,2,0,The Cargo plane was preparing to land at Toledo when it crash into a truck repair shop. one-half mile short of the runway. Both persons aboard were killed.
2019,04/Oct,729,Lviv. Ukraine,Ukraine Air Alliance ,4050,Vigo - Lviv - Istanbul,Antonov An-12BK,UR-CAH,1,7,1,4,0,The chartered cargo plane. planning to stop for refueling at Lviv. and continue on to Istanbul. ran out of fuel and crashed less than a mile from the runway into brush.
2019,24/Nov,915,Goma. Congo-Kinshasa,Busy Bee Congo,,Goma - Beni,Dornier 228-201,9S-GNH,17,2,17,2,7,The passenger plane crashed about a minute after taking off from Goma Airport into the Mapendo neighborhood.
2019,27/Dec,722,Almaty. Kazakhstan,Bek Air,Z92100,Almaty - Astana,Fokker 100,UP-F100,95,3,11,1,0,While taking off. the tail of the plane struck the runway twice. the aircraft lost altitude. went through a perimeter fence and crashed into a two-story building 700 meters from the end of the runway. There was no fire.
2018,29/Jan,,Zhengchang,People's Liberation Army Air Force,,Training,Shaanxi Y-8GX-3,30513,7,5,7,5,0,While completing a training mission. the airplane crashed in unknown circumstances the Zhengchang village. in the Guizhou Province.
2018,10/Feb,1731,Grand Canyon. Arizona,Papillon,,Sightseeing,Eurocopter EC 130B4,N155GC,6,1,3,0,0,The helicopter was observed making strange manoeuvres before clipping a cliff which snapped off its tail end. The aircraft then plummeted 600ft to the base of a gorge. There were strong winds in the area at the time of the accident.
2018,11/Feb,1431,Argunovo. Russia,Saratov Airlines,703,Moscow - Orsk,Antonov AN-148-100,RA-61704,65,6,65,6,0,The regional airliner took off from Moscow at 1422. Six minutes later. after reaching an altitude of 6.000 feet. contact was lost with the aircraft. The plane then lost altitude at an accelerated rate until it impacted the ground and disintegrated. Wreckage was scattered over a wide area of over 1 km. Authorities confirmed the aircraft was intact until the time of impact. There were discrepancies between the air speed readings on the captain's side compared to the standby airspeed indicator. The probable cause was due to erroneous actions of the crew at the stage of climbing in instrument weather conditions from unreliable readings of instrument speed caused by icing of all three pitot tubes. which led to the loss of control of the aircraft.
2018,18/Feb,932,Isfahan. Iran,Iran Aseman Airlines,EP3704,Tehran - Yasuj,ATR 72-212,EP-ATS,60,6,60,6,0,The airliner was on approach to Yasuj Airport and descending when it crashed into Mt. Dena. 14 miles north of the airport. Poor weather with fog was reported at the time of the accident. The crew action which caused dangerous conditions for the flight. Continuing to the Yasouj airport for landing against the operation manual of the company. due to low altitude ceiling of the cloud and related cloud mass. Descending to unauthorized altitude below minimum of the route and MSA.
2018,06/Mar,1451,Latakia. Syria,Military - Russian Air Force,,As-Safira - Latakia-Khmeimim Air Base,Antonov An-26,RF-92955/52,33,6,33,6,0,While on approach to Latakia-Khmeimim Air Base. the military transport plane crashed 1.600 feet short of the runway. The aircraft approached with a tail wind and was caught by a windshear on finals.
2018,11/Mar,1908,New York. New York,Liberty Helicopters,,Sightseeing,Eurocopter AS 350B2,N350LH,5,1,5,0,0,The sightseeing helicopter suddenly lost power and crashed in the East River. Two passengers were killed. Three other passengers later died in the hospital.
2018,11/Mar,1809,Shahrekord. Iran,Mc Aviation,,Sharjah - Istanbul,Canadair CL-600-2B16 Challenger 604,TC-TRB,8,3,8,3,0,While enr oute. the aiircraft impacted the side of a mountain. Before reaching altitude. the left and right airspeed indicators began to diverge by more than 10 knots. The left airspeed indicator showed an increase while the right hand airspeed indicator showed a decrease. Insufficient operational prerequisites for the management of erratic airspeed indication by the cockpit crew.
2018,12/Mar,1415,Kathmandu. Nepal,US-Bangla Airlines,221,Dhaka - Kathmandu,de Havilland Canada DHC-8-402Q Dash 8,S2-AGU ,67,4,47,4,0,After getting clearance to land. the aircraft was observed flying low. Soon after. the plane impacted terrain and caught fire. The cause of the accident was due to disorientation and complete loss of situational awareness of the crew.
2018,11/Apr,800,Boufarik AB. Algeria,Military - Algerian Air Force,,Boufarik AB - Bechar - Tindouf,Ilyushin 76-TD,7T-WIP,247,10,247,10,0,The Algerian military plane crashed soon after takeoff in a field and burst into flames. The plane was totally destroyed.
2018,17/Apr,1380,Philadelphia. Pennsylvania,Southwest Airlines,1380,New York - Dallas,Boeing 737-7H4,N722SW,144,5,1,0,0,While climbing to FL320. the No. 1 engine suffered an uncontained catastrophic failure. Shrapnel struck and broke a window which resulted in explosive decompression. A woman passenger sitting in the window seat was partially sucked out of the window. Passengers were able to pull her back in the cabin but she was reported in cardiac arrest and soon after died. The crew declared an emergency and landed safely at Philadelphia airport. The accident was caused by a low cycle fatigue crack in the dovetail of fan blade No.13. which resulted in the fan blade separating in flight and impacting the engine fan case at a location that was critical to the structural integrity and performance of the fan cowl structure. This impact led to the in-flight separation of fan cowl components. including the inboard fan cowl aft latch keeper. which struck the fuselage a cabin window and caused the window to depart from the airplane. the cabin to rapidly depressurize. and the passenger fatality.
2018,02/May,1130,Port Wentworth. Georgia,Military - US Air Force,,Savannah - Tuscon,Lockheed HC-130H Hercules,65-0968,0,9,0,9,0,A Porto Rico Air National Guard plane crashed onto a highway shortly after taking off from Savannah/Hilton International Airport. The aircraft went into a left bank and crashed to the ground. It was flying to Tucson where it was to be decommissioned. The aircraft was over 50 years old. The pilot's improper application of left rudder. which resulted in a subsequent skid below three-engine minimum controllable airspeed. a left-wing stall.
2018,18/May,1208,Havana. Cuba,Cubana (leased from Global Air),972,Havana - Holguin,Boeing 737-201,XA-UHZ,107,6,106,6,0,After taking off from runway 06 at Havana-José Martí Airport and while in the initial climb. the airliner initiated a right turn and then descended until it struck power lines and a railway track before disintegrating in a wooded area. The actions of the crew and their errors in the weight and balance calculations. which led to the loss of control and collapse of the aircraft during the takeoff stage.
2018,05/Jun,1702,Njabini. Kenya,Fly SAX,,Kitale - Nairobi,Cessna 208B Grand Carivan,5Y-CAC,8,2,8,2,0,While en route. the aircraft impacted a mountainside. The flight crew's inadequate flight planning and the decision to fly instrument flight rules (IFR) at an altitude below the published Minimum Sector Altitude and their failure to perform an immediate escape maneuver following TAWS alert. which resulted in controlled flight into terrain.
2018,10/Jul,744,Pretoria. South Africa,Rovos Air,,Test Flight,Convair CV-340,ZS-BRV,16,3,0,1,1,Shortly after takeoff from runway 29. the left engine failed and the crew was unable to gain sufficient height. The captain was cleared to make an emergency landing. While approaching runway 29 from the east. the airplane went out of control. struck the roof of a building and crashed in a field located about 6 km southeast of the airport. The flight engineer was killed along with a person on the ground.
2018,04/Aug,1655,Flims. Switzerland,Ju Air,,Locorno - Dubendorf,Junkers JU-52,HB-HOT,17,3,17,3,1,The vintage aircraft crashed onto Piz Segnas mountain while on a sightseeing flight. The plane plunged almost vertically at high speed and crashed at an elevation of 8.000 ft.
2018,17/Sep,2207,Hmeimim. Latakia Governorate. Syria,Military - Russian Air Force,,Training,Ilyushin Il-20M,RF-93610,0,15,0,15,0,Crashed into the sea. Hit by a surface-to-air missile from Syrian ground forces.
2018,28/Sep,1010,Chuuk. Micronesia,Air Niugini,,Pohnpei - Chuuk,Boeing 737-8BK,P2-PXE,35,12,1,0,0,The aircraft was approaching for a landing at Chuuk/Weno Airport in rain when it landed in a lagoon 500 feet short of the runway. A passenger was found in the plane 3 days after the accident. The flight crew did not comply with Air Niugini Standard Operating Procedures Manual (SOPM) and the approach and pre-landing checklists. The flight crew heard. but disregarded. aural alerts (Glideslope and Sink Rate).
2018,29/Oct,631,Jakarta. Indonesia,Lion Air,610,Jakarta - Pangkal Pinang,Boeing 737-MAX 8,PK-LQP,181,8,181,8,0,The airliner crashed into the Jakarta Sea. 13 minutes after taking off from Soekarno-Hatta International Airport. It was on a short 1 hour flight to Pangkal Pinang. After taking off from runway 25L. the aircraft made a climbing left-hand turn after which the crew radioed a request to return too the airport. The aircraft then showed an erratic pattern of flight and began losing altitude until it crashed into the sea. 9 miles off the Jakarta coast. It was reported the plane had problems the night before on a flight from Denpasar to Jakarta. When the 737 Max 8 was designed. it necessitated placing the engines more forward. This gave the plane a tendency to be nose heavy. To compensate for this. the MCAS system was written into the software. No one was told of this. not the pilots or airlines and did not appear in any manual. The MCAS was activated by the angle-of-attack sensor. The system only depended on one angle-of-attack sensor. If the angle-of attack sensor sensed a nose down attitude. it would adjust the trim and bring the plane to level flight. On the accident plane. the angle-of-attack sensor was faulty and gave false readings which caused the plane to pitch up. It also caused incorrect airspeed and altitude readings. The pilot tried to correct the nose-up attitude. but the system kept pushing the nose up. Eventually the plane’s stall speed was reached. and the plane went into a dive and crashed. A simple disconnect of the stabilizer trim would have solved the problem.
2018,06/Nov,253,Georgetown. Guyana,Fly Jamaica Airways,,Georgetown - Toronto,Boeing 757-N23,N524AT,120,8,1,0,0,After taking off and reaching FL200. the crew reported a hydraulic problem and circled back to Georgetown Airport. The aircraft touched down on runway 06 but went off the runway and came to rest against the airport perimeter fence. Six people were injured. One person died of their injuries several days later.
2017,16/Jan,719,Bishkek. Kyrgyzstan,My Cargo Airlines (ACT Airlines),6491,Hong Kong - Bishkek - Istanbul,Boeing 747-412F,TC-MCL,0,4,0,4,35,While approaching Bishkek for a fuel stop. the cargo plane crashed past the end of the runway destroying 23 houses. The weather at the time of the accident was freezing fog. The probablle cause of the accident was the missing control of the crew over the aircraft position in relation to the glideslope during the automatic approach. conducted at night in the weather conditions. suitable for ICAO CAT II landing. and as a result. the measures to perform a go-around. not taken in due time with the aircraft. having a significant deviation from the established approach chart. which led to the controlled flight impact with terrain at the distance of 930 m beyond the end of the active runway.
2017,21/Feb,900,Melbourne. Victoria. Australia,Australian Corporate Jet Centres PTY. LTD,,Melbourne - King Island,Beechcraft B200 Super King Air,VH-ZCR ,4,1,4,1,0,The charter flight was just seconds into it's flight when it was observed flying low. before it nose diving into a building at a shopping center and bursting into flames. The pilot made two mayday calls before the aircraft crashed. The aircraft's rudder trim was likely in the full nose-left position at the commencement of the take-off. The aircraft's full nose-left rudder trim setting was not detected by the pilot prior to take-off. Following a longer than expected ground roll. the pilot took-off with full left rudder trim selected. This configuration adversely affected the aircraft's climb performance and controllability. resulting in a collision with terrain.
2017,10/Mar,1120,Istanbul. Turkey,Swan Aviation,,Istanbul - Bozuyuk,Sikorsky S-76C,TC-HEZ,5,2,5,2,0,The helicopter crashed on a highway after hitting a TV tower. six minutes after taking off. The helicopter was carrying an executive of the Eczacibasi group of companies. four of his Russian guests and two pilots.
2017,27/Mar,815,Mutare. Zimbabwe,ETA Air Charter,,Beira. Mozambique - Harare. Zimbabwe,Britten-Norman BN2 Islander,C9-AOV,4,2,4,2,0,While en route the air transport plane collided with Mount Vumba in poor weather conditions.
2017,05/May,653,Charleston. West Virginia,Air Cargo Carriers,,Louisville - Charleston,Shorts 300-200,N334AC,0,2,0,2,0,The cargo plane was destroyed when it crashed while attempting to land on runway 05 at Charleston Yeager Airport. After touching down hard. the aircraft when off the left side of the runway and fell into a wooded ravine. The flight crew's improper decision to conduct a circling approach contrary to the operator's standard operating procedures and the captain's excessive descent rate and maneuvering during the approach. which led to inadvertent. uncontrolled contact with the ground.
2017,27/May,1402,Tenzing. Nepal,Summit Air,409,Kathmandu - Lukla,Let L-410UVP-E20,9N-AKY,0,3,0,2,0,The cargo plane crashed short of the runway threshhold whille attempting to land at Lukla-Tenzing Airport. coming to rest on a steep wooded area close to the airport perimeter fence. Both the pilot and copilot were killed. The probable cause of this accident was aircraft stall as a result of excessive drag created by sudden increase in angle of attack of the aircraft supplemented by low speed in an attempt to initiate immediate climb on a landing configuration warranted by the critical situation of the final phase of flight.
